state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mt,2013,upper,SB 292,MTV00006614,upper,Do Pass,2013-02-23 00:00:00,other,45,4,1
mt,2013,upper,SB 294,MTV00006615,upper,DO PASS,2013-02-20 00:00:00,other,9,1,0
mt,2013,upper,SB 296,MTV00006616,upper,Do Pass,2013-02-23 00:00:00,other,45,4,1
mt,2013,upper,SB 306,MTV00006617,upper,Do Pass,2013-02-23 00:00:00,other,44,5,1
mt,2013,upper,SB 312,MTV00006618,upper,Do Pass,2013-02-23 00:00:00,other,49,0,1
mt,2013,upper,SB 314,MTV00006619,upper,Do Pass,2013-02-23 00:00:00,other,43,6,1
mt,2013,upper,SB 316,MTV00006620,upper,Do Pass,2013-02-23 00:00:00,other,49,0,1
mt,2013,upper,SB 316,MTV00006621,upper,DO PASS AS AMENDED,2013-02-20 00:00:00,other,14,0,0
mt,2013,upper,SB 319,MTV00006622,upper,Do Pass,2013-02-23 00:00:00,other,48,1,1
mt,2013,upper,SB 321,MTV00006623,upper,Do Pass,2013-02-23 00:00:00,other,27,22,1
mt,2013,upper,SB 331,MTV00006624,upper,Do Pass,2013-02-23 00:00:00,other,42,7,1
mt,2013,upper,SB 332,MTV00006625,upper,DO PASS AS AMENDED,2013-02-20 00:00:00,other,14,0,0
mt,2013,upper,SB 343,MTV00006626,upper,Do Pass,2013-02-23 00:00:00,other,42,7,1
mt,2013,upper,SJ 15,MTV00006627,upper,DO PASS,2013-02-20 00:00:00,other,14,0,0
mt,2013,lower,HB 8,MTV00006629,lower,Do Pass,2013-02-22 00:00:00,other,97,2,1
mt,2013,lower,HB 39,MTV00006630,lower,DO PASS AS AMENDED,2013-02-20 00:00:00,other,17,1,0
mt,2013,lower,HB 48,MTV00006631,lower,Do Pass,2013-02-23 00:00:00,other,100,0,0
mt,2013,lower,HB 205,MTV00006632,lower,Do Pass,2013-02-22 00:00:00,other,61,37,2
mt,2013,lower,HB 261,MTV00006633,upper,BE CONCURRED IN,2013-02-20 00:00:00,other,10,0,0
mt,2013,lower,HB 274,MTV00006634,lower,Do Pass,2013-02-22 00:00:00,other,69,30,1
mt,2013,lower,HB 274,MTV00006635,lower,DO PASS,2013-02-20 00:00:00,other,15,6,0
mt,2013,lower,HB 302,MTV00006636,lower,Do Pass,2013-02-22 00:00:00,other,56,42,2
mt,2013,lower,HB 304,MTV00006637,lower,Do Pass,2013-02-22 00:00:00,other,58,41,1
mt,2013,lower,HB 368,MTV00006638,lower,Do Pass,2013-02-22 00:00:00,other,98,1,1
mt,2013,lower,HB 369,MTV00006639,lower,DO PASS AS AMENDED,2013-02-20 00:00:00,other,17,3,0
mt,2013,lower,HB 378,MTV00006640,lower,Do Pass,2013-02-23 00:00:00,other,99,1,0
mt,2013,lower,HB 378,MTV00006641,lower,DO PASS AS AMENDED,2013-02-20 00:00:00,other,18,0,0
mt,2013,lower,HB 395,MTV00006642,lower,Do Pass,2013-02-23 00:00:00,other,63,37,0
mt,2013,lower,HB 396,MTV00006643,lower,Do Pass,2013-02-23 00:00:00,other,63,37,0
mt,2013,lower,HB 410,MTV00006644,lower,Do Pass,2013-02-23 00:00:00,other,64,36,0
mt,2013,lower,HB 411,MTV00006645,lower,Do Pass,2013-02-23 00:00:00,other,55,45,0
mt,2013,lower,HB 414,MTV00006646,lower,Do Pass,2013-02-22 00:00:00,other,99,0,1
mt,2013,lower,HB 422,MTV00006647,lower,Do Pass,2013-02-22 00:00:00,other,97,0,3
mt,2013,lower,HB 435,MTV00006648,lower,Do Pass,2013-02-23 00:00:00,other,69,31,0
mt,2013,lower,HB 447,MTV00006649,lower,DO PASS AS AMENDED,2013-02-20 00:00:00,other,17,1,0
mt,2013,lower,HB 448,MTV00006650,lower,Do Pass,2013-02-23 00:00:00,other,100,0,0
mt,2013,lower,HB 448,MTV00006651,lower,DO PASS,2013-02-20 00:00:00,other,19,0,0
mt,2013,lower,HB 457,MTV00006652,lower,DO PASS,2013-02-20 00:00:00,other,17,1,0
mt,2013,lower,HB 461,MTV00006653,lower,Do Pass,2013-02-23 00:00:00,other,76,24,0
mt,2013,lower,HB 484,MTV00006654,lower,Do Pass,2013-02-23 00:00:00,other,62,38,0
mt,2013,lower,HB 544,MTV00006655,lower,Do Pass,2013-02-23 00:00:00,other,95,5,0
mt,2013,upper,SB 127,MTV00006656,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,12,0,0
mt,2013,upper,SB 135,MTV00006657,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,12,8,0
mt,2013,upper,SB 173,MTV00006658,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,19,1,0
mt,2013,upper,SB 182,MTV00006659,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,9,0,0
mt,2013,upper,SB 195,MTV00006660,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,9,3,0
mt,2013,upper,SB 207,MTV00006661,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,12,0,0
mt,2013,upper,SB 231,MTV00006662,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,9,3,0
mt,2013,upper,SB 259,MTV00006663,upper,DO PASS,2013-02-21 00:00:00,other,12,0,0
mt,2013,upper,SB 262,MTV00006664,upper,DO PASS,2013-02-21 00:00:00,other,7,5,0
mt,2013,upper,SB 269,MTV00006665,upper,DO PASS AS AMENDED,2013-02-21 00:00:00,other,14,6,0
mt,2013,upper,SB 314,MTV00006666,upper,DO PASS,2013-02-21 00:00:00,other,12,0,0
mt,2013,upper,SB 336,MTV00006667,upper,DO PASS,2013-02-21 00:00:00,other,6,5,0
mt,2013,lower,HB 229,MTV00006668,lower,DO PASS AS AMENDED,2013-02-21 00:00:00,other,11,8,0
mt,2013,lower,HB 265,MTV00006669,lower,DO PASS AS AMENDED,2013-02-21 00:00:00,other,12,7,0
mt,2013,lower,HB 344,MTV00006670,lower,DO PASS AS AMENDED,2013-02-21 00:00:00,other,17,0,0
mt,2013,lower,HB 429,MTV00006671,lower,DO PASS,2013-02-21 00:00:00,other,11,9,0
mt,2013,lower,HB 433,MTV00006672,lower,DO PASS,2013-02-21 00:00:00,other,20,0,0
mt,2013,lower,HB 444,MTV00006673,lower,DO PASS AS AMENDED,2013-02-21 00:00:00,other,15,4,0
